Trial,W1_Mean,W1_Std,W2_Mean,W2_Std,Motor_Spikes,Sensor_A_Spikes,Sensor_B_Spikes
0,0.802412,0.000489,0.060661,0.028891,2400,1035,782
1,1.134431,0.001235,0.052804,0.025964,2400,1163,776
2,1.335562,0.001791,0.052735,0.022042,2400,1120,775
3,1.826734,0.002697,0.054928,0.020314,2400,1096,771
4,1.687938,0.003566,0.060825,0.020374,2400,1147,803
5,1.719837,0.003901,0.050997,0.016554,2400,1152,805
6,1.814355,0.004058,0.047425,0.016167,2400,1140,789
7,2.248377,0.089735,0.024372,0.016556,2400,1129,803
8,2.116330,0.017232,0.072604,0.007052,2400,1355,776
9,2.150569,0.011179,0.081193,0.007345,2400,1385,776
10,2.573885,0.072623,0.032321,0.009429,2400,1083,815
11,2.424397,0.028166,0.043883,0.003411,2400,1183,808
12,2.793664,0.025747,0.046665,0.003143,2400,1194,762
13,2.607505,0.028702,0.063290,0.004621,2400,1155,804
14,2.621941,0.030207,0.043481,0.003115,2400,1163,776
15,3.051775,0.030989,0.010523,0.003019,2400,1105,804
16,3.222943,0.060280,0.021380,0.003611,2400,1058,815
17,2.972557,0.033624,0.050010,0.000295,2400,1140,787
18,2.963383,0.031755,0.054373,0.000825,2400,1153,776
19,3.384580,0.032800,0.058030,0.001132,2400,1037,781
20,3.559255,0.033198,0.024266,0.001310,2400,1080,785
21,3.643198,0.033182,0.051088,0.000315,2400,1127,772
22,3.693951,0.033313,0.048135,0.000683,2400,1050,771
23,3.732399,0.033499,0.041682,0.000346,2400,1177,767
24,3.766325,0.033395,0.038572,0.007969,2400,1137,794
25,3.798454,0.033398,0.041232,0.002867,2400,1125,771
26,3.488345,0.033526,0.039329,0.001784,2400,1142,777
27,3.798779,0.033690,0.012331,0.001573,2400,1113,812
28,3.932931,0.033850,0.050876,0.000309,2400,1179,808
29,3.660594,0.033932,0.046363,0.000459,2400,1158,776
30,3.971408,0.078260,0.047606,0.004212,2400,1141,813
31,3.780190,0.037610,0.063495,0.001832,2400,1319,783
32,4.134537,0.034257,0.039569,0.009191,2400,1139,823
33,3.943236,0.035867,0.036110,0.002834,2400,1132,775
34,3.955660,0.036892,0.037190,0.002643,2400,1161,776
35,4.043034,0.037383,0.037510,0.002551,2400,1161,793
36,4.499681,0.037678,0.039540,0.002439,2400,1047,781
37,4.345812,0.037688,0.037975,0.000256,2400,1179,793
38,4.372061,0.037725,0.060162,0.000078,2400,1307,771
39,4.464571,0.037786,0.041575,0.000132,2400,1176,817
40,4.888968,0.108632,0.037774,0.006252,2400,1039,814
41,4.694472,0.019948,0.036756,0.000258,2400,1133,779
42,4.731166,0.039287,0.036447,0.001096,2400,1166,793
43,4.824203,0.036270,0.059221,0.000479,2400,1330,781
44,4.931722,0.006867,0.041101,0.000656,2400,1184,793
45,5.000000,0.000000,0.035889,0.000648,2400,1176,806
46,4.981812,0.072411,0.011693,0.006543,2400,1079,815
47,4.949131,0.012794,0.020799,0.002364,2400,1113,813
48,4.917160,0.020816,0.054521,0.001052,2400,1143,763
49,4.559723,0.008019,0.076123,0.001453,2400,1289,782
